idrealestate,type,typeOfOffer,city,municipality,squareFootage,constructionYear,landArea,floorInfo,registration,heatingType,roomNo,bathroomNo,price,country,con,pl,pumpaIliKalorimetri
1,home,sale,Bar,Marovići,120,NULL,NULL,NULL,Da,NULL,6,NULL,36000,"Crna Gora",U,NULL,NULL
2,flat,sale,Budva,NULL,29,NULL,NULL,"4 / 7",Da,Samostalno,1,1,46000,"Crna Gora",Standardna,NULL,NULL
3,home,sale,Bar,"Dobre Vode",165,NULL,NULL,NULL,NULL,Samostalno,6,NULL,88000,"Crna Gora",Novogradnja,NULL,NULL
4,flat,sale,Budva,"Prve Proleterske",37,2017,NULL,"1 / 4",Da,"Samostalno, Klima",2,1,55000,"Crna Gora",Novogradnja,NULL,NULL
5,flat,sale,Žabljak,NULL,61,NULL,NULL,"2 / 2",Da,Samostalno,2,1,55000,"Crna Gora",Novogradnja,NULL,NULL
6,home,sale,Bar,NULL,400,NULL,NULL,NULL,Da,NULL,5,NULL,520000,"Crna Gora",Standardna,NULL,NULL
7,flat,sale,Bar,NULL,45,NULL,NULL,"2 / -",Da,Samostalno,1,1,33000,"Crna Gora",Standardna,NULL,NULL
8,home,sale,Bar,"Žarka Zrenjanina",120,NULL,NULL,NULL,Da,NULL,3,1,40000,"Crna Gora",Standardna,NULL,NULL
9,home,sale,Bar,Šumadijska,110,NULL,NULL,NULL,Da,Klima,3,NULL,47000,"Crna Gora",Izvorno,NULL,NULL
10,flat,sale,"Herceg Novi","Topla II",62,NULL,NULL,"2 / 3",Da,NULL,2,1,91000,"Crna Gora",Novogradnja,NULL,NULL
11,cottage,sale,Goč,Stanišinci,124,NULL,NULL,NULL,Da,Samostalno,4,1,80000,Srbija,Novogradnja,NULL,NULL
12,flat,sale,Đuraševići,Lustica,56,NULL,NULL,"1 / 3",Da,"Samostalno, Klima",3,1,98000,"Crna Gora",Standardna,NULL,NULL
13,cottage,sale,Krčedin,"Dunavska obala",NULL,1980,NULL,NULL,NULL,Samostalno,NULL,2,NULL,Srbija,Završena,NULL,NULL
14,cottage,sale,Rakovac,"Stošin Do br.40",77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20299,Srbija,NULL,NULL,NULL
15,cottage,sale,Ralja,"Sumadijska 43",0,NULL,NULL,NULL,Da,NULL,NULL,NULL,25000,Srbija,U,NULL,NULL
16,cottage,sale,"Kosjerić (selo)",NULL,NULL,NULL,NULL,NULL,Da,NULL,NULL,NULL,8000,Srbija,Standardna,NULL,NULL
17,cottage,rent,Beograd,Sopot,170,NULL,NULL,NULL,NULL,Samostalno,5,2,NULL,Srbija,Standardna,NULL,NULL
18,home,sale,Tivat,NULL,519,NULL,NULL,NULL,Da,NULL,12,NULL,990000,"Crna Gora",Standardna,NULL,NULL
19,cottage,sale,"Novi Sad",Kamenjar,19,NULL,NULL,NULL,Da,NULL,NULL,1,40170,Srbija,Novogradnja,NULL,NULL
20,cottage,rent,Beograd,Barajevo,250,NULL,NULL,NULL,NULL,Centralno,4,4,120,Srbija,Standardna,NULL,NULL
21,cottage,sale,"Privina Glava","Fruška Gora",156,NULL,NULL,NULL,Da,Samostalno,5,1,55000,Srbija,Završena,NULL,NULL
22,home,sale,Bar,"Gornje pobrđe",430,NULL,NULL,NULL,NULL,NULL,7,NULL,75000,"Crna Gora",Izvorno,NULL,NULL
23,cottage,rent,Kopaonik,"Treska bb",100,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,Srbija,NULL,NULL,NULL
24,cottage,sale,"Novi Sad",Kamenjar,28,NULL,NULL,NULL,Da,NULL,NULL,NULL,56650,Srbija,NULL,NULL,NULL
25,cottage,sale,"Gornji Milanovac",Grabovica,NULL,NULL,NULL,NULL,Da,Samostalno,3,1,35000,Srbija,NULL,NULL,NULL
