idrealestate;type;typeOfOffer;city;municipality;squareFootage;constructionYear;landArea;floorInfo;registration;heatingType;roomNo;bathroomNo;price;country;con;pl;pumpaIliKalorimetri
1989;home;rent;Beograd;"Dedinje (RTV Pink)";600;NULL;NULL;NULL;NULL;Samostalno;9;NULL;6000;Srbija;Standardna;NULL;NULL
6681;home;rent;Beograd;"Dedinje (Beli dvor)";550;NULL;NULL;NULL;NULL;"Centralno, Klima";10;1;6000;Srbija;Izvorno;NULL;NULL
6513;home;rent;Beograd;"Dedinje (25. maj)";450;NULL;NULL;NULL;NULL;NULL;10;1;6000;Srbija;Standardna;NULL;NULL
7565;home;rent;Beograd;"Dedinje (RTV Pink)";600;NULL;NULL;NULL;NULL;"Samostalno, Klima";11;5;6000;Srbija;Novogradnja;NULL;NULL
8091;home;rent;Beograd;"Dedinje (RTV Pink)";600;NULL;NULL;NULL;NULL;"Samostalno, Klima";11;5;6000;Srbija;Novogradnja;NULL;NULL
6148;home;rent;Beograd;"Dedinje (RTV Pink)";550;NULL;NULL;NULL;NULL;Centralno;10;2;6000;Srbija;Novogradnja;NULL;NULL
4696;home;rent;Beograd;Zvezdara;500;NULL;NULL;NULL;NULL;Samostalno;6;NULL;5200;Srbija;Novogradnja;NULL;NULL
7174;home;rent;Beograd;Senjak;600;NULL;NULL;NULL;NULL;"Centralno, Samostalno";6;NULL;5000;Srbija;Novogradnja;NULL;NULL
1952;home;rent;Beograd;Senjak;550;NULL;NULL;NULL;Da;Samostalno;9;NULL;5000;Srbija;Standardna;NULL;NULL
6906;home;rent;Beograd;Krnjača;380;NULL;NULL;NULL;NULL;"Samostalno, Klima";7;NULL;5000;Srbija;Novogradnja;NULL;NULL
3299;home;rent;Beograd;"Dedinje (Beli dvor)";550;2000;NULL;NULL;NULL;Samostalno;9;NULL;4500;Srbija;Standardna;NULL;NULL
3275;home;rent;Beograd;"Dedinje (Beli dvor)";550;2000;NULL;NULL;NULL;Samostalno;9;NULL;4500;Srbija;Standardna;NULL;NULL
6535;home;rent;Beograd;"Dedinje (Beli dvor)";600;NULL;NULL;NULL;Da;"Samostalno, Klima";10;1;4500;Srbija;Standardna;NULL;NULL
8050;home;rent;Beograd;"Centar (uži)";450;1935;NULL;NULL;NULL;Klima;6;3;4300;Srbija;Izvorno;yes;NULL
8388;home;rent;Beograd;"Dedinje (Beli dvor)";350;NULL;NULL;NULL;NULL;"Samostalno, Klima";5;NULL;4200;Srbija;Standardna;NULL;NULL
6186;home;rent;Beograd;"Dedinje (25. maj)";250;NULL;NULL;NULL;NULL;Klima;5;2;4000;Srbija;Standardna;NULL;NULL
1713;home;rent;Beograd;"Gornji Dorćol";275;1930;NULL;NULL;Da;Samostalno;9;NULL;3500;Srbija;Standardna;NULL;NULL
5548;home;rent;Beograd;"Dedinje (RTV Pink)";400;NULL;NULL;NULL;NULL;NULL;7;NULL;3500;Srbija;Standardna;NULL;NULL
4240;home;rent;Beograd;"Stari Grad";275;NULL;NULL;NULL;NULL;NULL;5;NULL;3500;Srbija;Standardna;NULL;NULL
4201;home;rent;Beograd;Batajnica;870;NULL;NULL;NULL;NULL;NULL;5;NULL;3500;Srbija;Standardna;NULL;NULL
3273;home;rent;Beograd;Batajnica;880;NULL;NULL;NULL;NULL;Samostalno;9;NULL;3500;Srbija;Standardna;NULL;NULL
3294;home;rent;Beograd;Batajnica;880;NULL;NULL;NULL;NULL;Samostalno;9;NULL;3500;Srbija;Standardna;NULL;NULL
