idrealestate;type;typeOfOffer;city;municipality;squareFootage;constructionYear;landArea;floorInfo;registration;heatingType;roomNo;bathroomNo;price;country;con;pl;pumpaIliKalorimetri
496;home;sale;Tivat;Meštrovići;480;2019;NULL;NULL;NULL;NULL;4;NULL;2000000;"Crna Gora";Novogradnja;yes;NULL
8053;flat;sale;Beograd;Senjak;351;2020;NULL;"- / 2";Da;Centralno;4;NULL;1824260;Srbija;Novogradnja;NULL;NULL
7910;flat;sale;Beograd;Senjak;290;2020;NULL;"2 / 2";Da;Centralno;4;NULL;1510280;Srbija;Novogradnja;NULL;NULL
7915;flat;sale;Beograd;Senjak;273;2020;NULL;"1 / 2";Da;Centralno;4;NULL;1418400;Srbija;Novogradnja;NULL;NULL
7912;flat;sale;Beograd;Senjak;262;2020;NULL;"- / 2";Da;Centralno;4;NULL;1361040;Srbija;Novogradnja;NULL;NULL
7542;flat;sale;Beograd;Senjak;273;2020;NULL;"1 / 2";Da;"Centralno, Klima";5;4;1146600;Srbija;Novogradnja;NULL;NULL
3050;home;sale;Beograd;Košutnjak;365;2019;NULL;NULL;Da;Samostalno;7;NULL;700000;Srbija;Standardna;NULL;NULL
3163;home;sale;Beograd;Košutnjak;365;2019;NULL;NULL;Da;Samostalno;7;NULL;700000;Srbija;Standardna;NULL;NULL
3249;home;sale;Beograd;Košutnjak;365;2019;NULL;NULL;Da;Samostalno;7;NULL;700000;Srbija;Standardna;NULL;NULL
5167;flat;sale;Beograd;Čubura;205;2019;NULL;"6 / 6";Da;"Centralno, Klima";3;3;600000;Srbija;Novogradnja;NULL;NULL
9954;flat;sale;Beograd;"Vračar (Hram)";171;2020;NULL;"1 / 6";NULL;Samostalno;4;NULL;544285;Srbija;Novogradnja;NULL;NULL
9625;flat;sale;Beograd;"Kalenić pijaca";145;2020;NULL;"3 / 6";NULL;Centralno;4;NULL;507500;Srbija;Novogradnja;NULL;NULL
9908;flat;sale;Beograd;"Vračar (Hram)";152;2020;NULL;"1 / 6";NULL;Samostalno;4;NULL;483990;Srbija;Novogradnja;NULL;NULL
6625;flat;sale;Beograd;"Dedinje (Beli dvor)";199;2019;NULL;"2 / 2";Da;Klima;6;2;435000;Srbija;Novogradnja;NULL;NULL
9471;flat;sale;Beograd;"Dedinje (Beli dvor)";114;2020;NULL;"1 / 3";NULL;Samostalno;4;NULL;399000;Srbija;Novogradnja;NULL;NULL
9937;flat;sale;Beograd;Voždovac;175;2020;NULL;"5 / 5";Da;Samostalno;5;NULL;398000;Srbija;Novogradnja;NULL;NULL
5175;flat;sale;Beograd;Čubura;112;2019;NULL;"5 / 6";Da;"Centralno, Klima";3;3;385000;Srbija;Novogradnja;NULL;NULL
6640;flat;sale;Beograd;"Dedinje (Beli dvor)";112;2019;NULL;"2 / 2";NULL;"Centralno, Klima";4;1;385000;Srbija;Novogradnja;NULL;NULL
574;flat;sale;Beograd;"Dedinje (Beli dvor)";183;2020;NULL;"3 / 4";Da;"Samostalno, Klima";5;NULL;380000;Srbija;Novogradnja;NULL;NULL
5174;flat;sale;Beograd;Čubura;112;2019;NULL;"4 / 6";Da;"Centralno, Klima";3;3;375000;Srbija;Novogradnja;NULL;NULL
5046;flat;sale;Beograd;Čubura;122;2019;NULL;"- / 6";NULL;Centralno;3;3;366000;Srbija;U;NULL;NULL
9503;flat;sale;Beograd;"Beograd na vodi";90;2020;NULL;"1 / 5";NULL;Centralno;3;NULL;365000;Srbija;Novogradnja;NULL;kalorimetri
5451;flat;sale;Beograd;Voždovac;112;2020;NULL;"1 / 4";Da;Klima;4;NULL;350000;Srbija;Novogradnja;NULL;NULL
5159;flat;sale;Beograd;Čubura;127;2020;NULL;"4 / 5";Da;Centralno;3;1;349250;Srbija;Novogradnja;NULL;NULL
6057;flat;sale;Beograd;Čubura;124;2020;NULL;"- / 6";NULL;"Centralno, Klima";4;2;347200;Srbija;Novogradnja;NULL;NULL
9467;flat;sale;Beograd;"Dedinje (Beli dvor)";98;2020;NULL;"1 / 3";NULL;Samostalno;3;NULL;343000;Srbija;Novogradnja;NULL;NULL
6841;flat;sale;Beograd;"Dedinje (Beli dvor)";131;2020;NULL;"2 / 4";Da;"Samostalno, Klima";4;NULL;341000;Srbija;Novogradnja;NULL;NULL
8427;flat;sale;Beograd;Zvezdara;174;2019;NULL;"7 / 7";Da;Centralno;4;NULL;330600;Srbija;Novogradnja;NULL;NULL
5168;flat;sale;Beograd;Čubura;102;2019;NULL;"1 / 6";Da;"Centralno, Klima";3;3;330000;Srbija;Novogradnja;NULL;NULL
7505;flat;sale;Beograd;Voždovac;112;2019;NULL;"1 / 4";Da;Klima;4;1;325000;Srbija;Novogradnja;NULL;NULL
1243;flat;sale;Beograd;Čubura;128;2020;NULL;"5 / 5";NULL;Centralno;3;NULL;320300;Srbija;Novogradnja;NULL;NULL
9523;flat;sale;Beograd;"Dedinje (Beli dvor)";132;2020;NULL;"2 / 4";NULL;Centralno;4;NULL;318980;Srbija;Standardna;NULL;NULL
9054;flat;sale;Beograd;"Crveni krst";118;2020;NULL;"4 / 6";NULL;Klima;4;1;318900;Srbija;U;NULL;NULL
9889;flat;sale;Beograd;Čubura;128;2020;NULL;"4 / 5";NULL;Centralno;4;NULL;318725;Srbija;Novogradnja;NULL;NULL
9893;flat;sale;Beograd;"Vračar (Centar)";127;2020;NULL;"4 / 7";NULL;Centralno;4;NULL;317500;Srbija;Novogradnja;NULL;NULL
9531;flat;sale;Beograd;"Dedinje (Beli dvor)";131;2020;NULL;"4 / 4";NULL;Centralno;3;NULL;317335;Srbija;Novogradnja;NULL;NULL
7999;flat;sale;Beograd;"Novi Beograd Blok 65";118;2020;NULL;"7 / 9";NULL;Centralno;4;3;312000;Srbija;Novogradnja;NULL;kalorimetri
6745;flat;sale;Beograd;"Filmski grad";167;2019;NULL;"2 / 2";NULL;Klima;4;2;310000;Srbija;Novogradnja;NULL;NULL
9885;flat;sale;Beograd;"Vračar (Centar)";124;2020;NULL;"6 / 7";NULL;Centralno;4;NULL;310000;Srbija;Novogradnja;NULL;NULL
9897;flat;sale;Beograd;"Vračar (Centar)";124;2020;NULL;"6 / 7";NULL;Centralno;4;NULL;310000;Srbija;Novogradnja;NULL;NULL
10073;home;sale;Beograd;"Filmski grad";167;2019;NULL;NULL;NULL;Klima;4;2;310000;Srbija;Novogradnja;NULL;NULL
9913;flat;sale;Beograd;Voždovac;136;2020;NULL;"5 / 5";Da;Samostalno;3;NULL;308750;Srbija;Novogradnja;NULL;NULL
6801;flat;sale;Beograd;"Dedinje (Beli dvor)";129;2020;NULL;"1 / 4";Da;"Samostalno, Klima";4;NULL;308000;Srbija;Novogradnja;NULL;NULL
9764;flat;sale;Beograd;"Dedinje (Beli dvor)";75;2020;NULL;"1 / 2";NULL;Samostalno;3;NULL;301500;Srbija;Novogradnja;NULL;NULL
9635;home;sale;"Novi Sad";"DESANKE MAKSIMOVIĆ - INĐIJA";211;2019;NULL;NULL;NULL;Samostalno;4;NULL;300000;Srbija;Standardna;NULL;NULL
7913;flat;sale;Beograd;"Stari Grad";95;2019;NULL;"8 / 8";NULL;"Centralno, Klima";4;2;289000;Srbija;Novogradnja;NULL;NULL
9852;flat;sale;Beograd;"Gornji Dorćol";102;2020;NULL;"7 / 9";NULL;Centralno;3;NULL;286000;Srbija;Novogradnja;NULL;kalorimetri
8688;flat;sale;Beograd;"Beograd na vodi";83;2020;NULL;"9 / 17";Da;"Centralno, Klima";2;2;285000;Srbija;Standardna;NULL;NULL
